Fecha Cierre,Client_ID,Resident_Capital,Client_Age_Years,Client_Sex,Client_Married,Amount_Last_Disbursement,n(Months)_Since_Last_Disbursement,n(Months)_Client_Relationship,n(Months)_LO_Active_Employee,Client_Status_Post3Months,Client_Status_Post6Months,LO_Active_Employee_Post3Months,LO_Active_Employee_Post6Months,n(Loans)_Outstanding_Maynas,n(Loans)_Outstanding_Other,n(Additional_Loans)_Post3Months,n(Additional_Loans)_Post6Months,Total_Accumulated_Interest_per_Client,LO_Active_Employee_Prior3Months,LO_Active_Employee_Prior6Months,n(Additional_Loans)_Pre3Months,n(Additional_Loans)_Pre6Months,LO_Changed,n(Months)_Change_LO
2018-01-31,1090100000183,1,67,1,0,66500.0,57,74,19,1,0,1,1,1,2,0,0,19,1,1,0,0,1,13
2018-01-31,1090100003778,1,59,1,1,22000.0,0,81,45,0,1,1,1,1,1,0,0,127,1,1,1,1,0,0
2018-01-31,1090100003930,1,65,1,0,18000.0,1,31,24,0,1,1,1,1,2,0,0,0,1,1,1,1,0,0
2018-01-31,1090100004430,1,73,0,0,4000.0,0,76,35,0,1,1,1,2,1,1,1,582,1,1,1,2,0,0
2018-01-31,1090100009032,1,81,1,0,6000.0,2,10,24,0,0,0,0,1,3,0,0,56,1,1,1,1,0,0
2018-01-31,1090100011924,1,66,1,0,15000.0,7,31,24,0,0,1,0,1,1,0,0,246,1,1,0,0,0,0
2018-01-31,1090100014532,1,60,1,0,2000.0,1,75,12,0,1,1,1,2,3,1,2,275,1,1,1,2,1,2
2018-01-31,1090100017281,1,56,0,0,5000.0,3,86,60,0,1,0,0,2,1,1,1,626,1,1,2,1,1,2
2018-01-31,1090100017515,1,67,1,0,29000.0,1,110,24,0,1,1,1,1,0,1,1,684,1,1,0,0,0,0
2018-01-31,1090100018945,1,77,1,1,19000.0,6,48,19,0,1,0,0,1,1,0,0,289,1,1,0,0,1,2
2018-01-31,1090100019071,1,57,1,1,33500.0,6,30,33,0,1,1,1,1,0,0,0,397,1,1,0,0,0,0
2018-01-31,1090100021075,1,72,0,0,98000.0,44,78,18,0,1,1,0,1,1,0,0,0,1,1,0,0,1,38
2018-01-31,1090100023183,1,64,1,1,293000.0,36,36,18,0,1,1,0,1,1,0,0,490,1,1,0,0,1,15
2018-01-31,1090100023566,1,65,0,1,10000.0,17,31,19,0,1,1,1,1,1,0,1,61,1,1,0,0,0,0
2018-01-31,1090100023612,1,57,1,0,20000.0,11,99,24,0,1,0,0,1,3,0,0,146,1,1,1,1,1,2
2018-01-31,1090100024147,1,71,1,0,2000.0,20,46,60,0,0,1,0,1,3,0,0,176,1,0,0,0,0,0
2018-01-31,1090100026719,1,53,1,0,20000.0,0,50,45,0,1,1,0,3,2,1,1,451,1,1,2,2,0,0
2018-01-31,1090100029041,1,57,1,0,50000.0,3,88,78,1,1,1,1,1,2,0,1,283,1,1,0,1,0,0
2018-01-31,1090100029882,1,69,1,1,90000.0,7,78,19,0,1,1,1,1,0,0,0,1225,1,1,0,0,0,0
2018-01-31,1090100033952,1,66,0,1,8000.0,0,58,19,0,1,1,1,2,3,1,2,171,1,1,1,1,0,0
2018-01-31,1090100035556,1,56,0,0,29500.0,2,91,60,0,1,0,0,1,3,1,1,1764,1,1,1,0,0,0
2018-01-31,1090100036005,1,63,0,1,15000.0,13,40,18,0,1,1,0,2,2,0,1,80,1,1,2,2,0,0
2018-01-31,1090100036676,1,49,1,1,40000.0,3,40,60,0,1,0,0,1,0,0,0,438,1,1,0,0,0,0
2018-01-31,1090100036714,1,48,1,0,150000.0,0,42,243,0,1,1,1,2,2,0,1,192,1,1,2,2,0,0
2018-01-31,1090100038521,1,71,0,0,7800.0,12,12,60,0,1,0,0,1,2,0,0,95,1,1,0,0,1,2
2018-01-31,1090100038849,1,68,0,1,29000.0,8,40,24,0,1,1,0,1,2,0,1,0,1,1,0,0,0,0
2018-01-31,1090100039209,1,73,1,1,1000.0,2,8,78,0,1,1,1,1,2,0,1,22,1,1,1,1,0,0
2018-01-31,1090100039691,1,53,0,1,59000.0,12,32,19,0,1,1,0,1,0,0,0,230,1,1,0,0,1,5
2018-01-31,1090100040479,1,56,0,1,20000.0,2,57,78,0,1,1,1,2,2,0,0,483,1,0,2,2,0,0
2018-01-31,1090100040754,1,45,1,1,13000.0,5,5,19,0,1,1,1,1,1,0,1,0,0,0,0,1,1,3
2018-01-31,1090100040983,1,52,1,0,90000.0,5,65,60,0,1,0,0,1,2,0,1,736,1,1,0,1,1,2
2018-01-31,1090100041041,1,63,1,0,28000.0,15,15,35,0,1,1,1,1,1,0,0,259,1,1,0,0,0,0
2018-01-31,1090100042510,1,66,0,0,412000.0,4,86,20,0,1,0,0,1,2,0,0,2716,1,1,0,2,1,5
2018-01-31,1090100043346,1,72,0,0,100000.0,0,74,27,0,1,1,0,1,2,0,0,276,1,1,0,0,0,0
2018-01-31,1090100043516,1,66,1,0,5100.0,2,33,76,0,1,1,1,1,1,1,1,93,0,0,1,2,0,0
2018-01-31,1090100043583,1,73,1,1,10000.0,3,52,19,0,1,1,1,2,1,0,0,345,1,1,2,1,1,2
2018-01-31,1090100043800,1,65,0,0,5000.0,11,85,243,0,0,1,1,1,3,0,0,86,1,1,0,0,0,0
2018-01-31,1090100044407,1,62,1,0,22500.0,1,58,3,0,1,1,1,2,2,0,1,953,0,0,2,1,1,2
2018-01-31,1090100046060,1,55,1,0,1000.0,15,44,33,0,1,1,1,1,1,0,0,320,1,1,0,0,0,0
2018-01-31,1090100047708,1,44,0,0,13000.0,3,32,91,0,1,1,1,1,2,0,0,343,1,1,0,1,0,0
2018-01-31,1090100047872,1,43,0,0,100000.0,0,0,76,0,1,1,1,1,1,0,0,402,1,1,0,0,0,0
2018-01-31,1090100047929,1,70,1,0,30000.0,3,45,24,0,1,1,1,2,0,0,0,215,1,1,2,1,0,0
2018-01-31,1090100048046,1,65,1,1,32500.0,3,41,3,0,1,1,1,2,1,0,0,587,0,0,2,2,1,2
2018-01-31,1090100049891,1,61,1,0,14000.0,3,3,78,0,1,1,1,1,2,0,0,412,1,1,0,0,0,0
2018-01-31,1090100050377,1,51,1,0,19500.0,0,16,33,0,1,1,1,1,1,0,0,0,1,1,2,1,0,0
2018-01-31,1090100051489,1,71,1,1,8000.0,2,30,78,0,1,1,1,1,2,0,0,42,1,0,1,1,0,0
2018-01-31,1090100053724,1,55,1,0,15000.0,1,32,243,0,1,1,1,2,1,1,1,336,1,1,2,2,0,0
2018-01-31,1090100054895,1,60,1,0,26000.0,3,72,5,0,1,1,1,2,0,0,0,564,1,0,2,1,0,0
2018-01-31,1090100055484,1,54,1,1,29000.0,12,12,45,0,0,1,0,1,1,0,0,75,1,1,0,0,0,0
2018-01-31,1090100056316,1,61,1,1,7000.0,12,12,19,0,1,1,1,1,2,1,1,55,1,1,0,1,0,0
2018-01-31,1090100056618,1,70,0,0,10000.0,1,24,19,0,0,1,1,1,2,0,0,57,1,1,1,1,0,0
2018-01-31,1090100057673,1,61,1,0,5000.0,26,74,20,0,0,0,0,1,3,0,0,0,1,1,0,0,1,15
2018-01-31,1090100058882,1,50,1,0,6000.0,5,20,76,0,1,1,1,1,2,0,0,127,1,1,0,1,0,0
