Fecha Cierre,Monthly_Client_Loss,Average_Number_Clients,Client_Churn
2018-01-31,216,8964,0.024096386
2018-02-28,213,9034,0.023577596
2018-03-31,225,9121,0.024668348
2018-04-30,257,9234,0.027831925
2018-05-31,267,9343,0.028577545
2018-06-30,264,9445,0.027951297
2018-07-31,262,9557,0.027414461
2018-08-31,239,9654,0.024756578
2018-09-30,242,9778,0.024749438
2018-10-31,298,9947,0.029958782
2018-11-30,313,10084,0.03103927
2018-12-31,274,10206,0.026846953
2019-01-31,283,10330,0.027395934
2019-02-28,255,10440,0.024425287
2019-03-31,263,10540,0.024952562
2019-04-30,235,10641,0.022084391
2019-05-31,278,10713,0.025949781
2019-06-30,222,10756,0.020639643
2019-07-31,226,10814,0.020898835
2019-08-31,245,10866,0.022547396
2019-09-30,220,10918,0.020150211
2019-10-31,270,11027,0.024485354
2019-11-30,316,11135,0.028378985
2019-12-31,266,11230,0.023686554
2020-01-31,315,11364,0.027719113
2020-02-29,308,11474,0.026843298
2020-03-31,230,11544,0.01992377
2020-04-30,145,11601,0.012498923
2020-05-31,164,11638,0.014091768
2020-06-30,176,11686,0.015060756
2020-07-31,239,11782,0.020285181
2020-08-31,267,11878,0.022478532
2020-09-30,189,11944,0.015823845
2020-10-31,146,12015,0.012151477
2020-11-30,190,12197,0.015577601
2020-12-31,404,12350,0.032712551
2021-01-31,117,12509,0.009353266
2021-02-28,395,12789,0.030885918
2021-03-31,410,13162,0.031150281
2021-04-30,680,13510,0.050333087
