,LOR,bike_thefts_count
0,01100101,1
1,01100102,1
2,01100103,1
3,01100104,1
4,01100205,1
5,01100206,1
6,01100207,1
7,01100308,1
8,01100309,1
9,01100310,1
10,01100311,1
11,01100312,1
12,01100313,1
13,01100414,1
14,01100415,1
15,01100416,1
16,01200517,1
17,01200518,1
18,01200519,1
19,01200520,1
20,01200521,1
21,01200522,1
22,01200623,1
23,01200624,1
24,01200625,1
25,01200626,1
26,01200627,1
27,01200628,1
28,01200629,1
29,01300730,1
30,01300731,1
31,01300732,1
32,01300733,1
33,01300834,1
34,01300835,1
35,01300836,1
36,01400937,1
37,01400938,1
38,01400939,1
39,01400940,1
40,01400941,1
41,01400942,1
42,01401043,1
43,01401044,1
44,01401045,1
45,01401046,1
46,01401047,1
47,01401048,1
48,01401049,1
49,02100101,1
50,02100102,1
51,02100103,1
52,02100104,1
53,02100105,1
54,02100106,1
55,02200207,1
56,02200208,1
57,02200209,1
58,02200210,1
59,02200211,1
60,02200212,1
61,02200213,1
62,02300314,1
63,02300315,1
64,02300316,1
65,02300417,1
66,02300418,1
67,02300419,1
68,02400520,1
69,02400521,1
70,02400522,1
71,02400623,1
72,02400624,1
73,02400625,1
74,02500726,1
75,02500727,1
76,02500728,1
77,02500729,1
78,02500830,1
79,02500831,1
80,02500832,1
81,02500833,1
82,02500834,1
83,02500835,1
84,02500836,1
85,03100101,1
86,03100102,1
87,03100103,1
88,03200204,1
89,03200205,1
90,03200206,1
91,03200207,1
92,03200308,1
93,03200309,1
94,03200310,1
95,03300411,1
96,03300412,1
97,03300413,1
98,03300514,1
99,03300516,1
100,03300517,1
101,03400618,1
102,03400619,1
103,03400620,1
104,03400721,1
105,03400722,1
106,03400723,1
107,03400724,1
108,03400725,1
109,03400826,1
110,03400827,1
111,03400828,1
112,03400829,1
113,03400830,1
114,03400831,1
115,03500932,1
116,03500933,1
117,03500934,1
118,03500935,1
119,03500936,1
120,03501037,1
121,03501038,1
122,03601139,1
123,03601140,1
124,03601141,1
125,03601142,1
126,03601243,1
127,03601244,1
128,03601245,1
129,03601346,1
130,03601347,1
131,03601348,1
132,03601449,1
133,03601450,1
134,03601451,1
135,03601452,1
136,03601453,1
137,03701554,1
138,03701555,1
139,03701556,1
140,03701657,1
141,03701658,1
142,03701659,1
143,03701660,1
144,04100101,1
145,04100102,1
146,04200203,1
147,04200204,1
148,04200205,1
149,04200206,1
150,04200207,1
151,04200308,1
152,04200309,1
153,04200310,1
154,04200311,1
155,04300412,1
156,04300413,1
157,04300414,1
158,04300415,1
159,04300416,1
160,04300517,1
161,04300518,1
162,04300619,1
163,04300620,1
164,04300621,1
165,04300622,1
166,04300623,1
167,04300624,1
168,04400725,1
169,04400726,1
170,04400727,1
171,04400728,1
172,04400729,1
173,04400830,1
174,04400831,1
175,04400832,1
176,04400833,1
177,04400834,1
178,04400835,1
179,04500936,1
180,04500937,1
181,04500938,1
182,04500939,1
183,04501040,1
184,04501041,1
185,04501042,1
186,04501043,1
187,04501044,1
188,04501045,1
189,04501146,1
190,04501147,1
191,04501148,1
192,04501149,1
193,04501150,1
194,04501151,1
195,04501152,1
196,04501153,1
197,05100101,1
198,05100102,1
199,05100103,1
200,05100104,1
201,05100105,1
202,05100206,1
203,05100207,1
204,05100208,1
205,05100209,1
206,05100210,1
207,05100211,1
208,05100312,1
209,05100313,1
210,05100314,1
211,05100315,1
212,05100316,1
213,05100317,1
214,05200418,1
215,05200419,1
216,05200420,1
217,05200421,1
218,05200422,1
219,05200423,1
220,05200524,1
221,05200525,1
222,05200526,1
223,05200527,1
224,05200528,1
225,05200629,1
226,05200630,1
227,05200631,1
228,05200632,1
229,05200633,1
230,05200634,1
231,05300735,1
232,05300736,1
233,05300737,1
234,05300838,1
235,05300839,1
236,05300840,1
237,05300841,1
238,05400942,1
239,05400943,1
240,05400944,1
241,05400945,1
242,06100101,1
243,06100102,1
244,06100103,1
245,06100204,1
246,06100205,1
247,06100206,1
248,06100207,1
249,06100208,1
250,06100209,1
251,06100210,1
252,06200311,1
253,06200312,1
254,06200313,1
255,06200314,1
256,06200315,1
257,06200316,1
258,06200317,1
259,06200419,1
260,06200420,1
261,06200421,1
262,06200422,1
263,06200423,1
264,06300524,1
265,06300525,1
266,06300526,1
267,06300527,1
268,06300528,1
269,06300629,1
270,06300630,1
271,06300631,1
272,06300632,1
273,06300633,1
274,06300634,1
275,06400735,1
276,06400736,1
277,06400737,1
278,06400838,1
279,06400839,1
280,06400840,1
281,06400841,1
282,06400842,1
283,06400843,1
284,06400844,1
285,07100101,1
286,07100102,1
287,07100103,1
288,07100204,1
289,07100205,1
290,07100206,1
291,07200307,1
292,07200308,1
293,07200409,1
294,07200410,1
295,07200411,1
296,07200412,1
297,07200413,1
298,07200414,1
299,07300515,1
300,07300516,1
301,07300517,1
302,07300618,1
303,07300619,1
304,07400720,1
305,07400721,1
306,07400822,1
307,07400823,1
308,07400824,1
309,07400825,1
310,07400826,1
311,07400927,1
312,07400928,1
313,07501029,1
314,07501030,1
315,07501031,1
316,07501032,1
317,07501133,1
318,07501134,1
319,07501135,1
320,07601236,1
321,07601237,1
322,07601238,1
323,07601339,1
324,07601340,1
325,07601341,1
326,07601442,1
327,07601443,1
328,07601544,1
329,07601545,1
330,07601546,1
331,07601547,1
332,07601548,1
333,08100101,1
334,08100102,1
335,08100103,1
336,08100104,1
337,08100105,1
338,08100206,1
339,08100207,1
340,08100208,1
341,08100209,1
342,08100310,1
343,08100311,1
344,08100312,1
345,08100313,1
346,08100314,1
347,08100415,1
348,08100416,1
349,08100417,1
350,08100418,1
351,08100419,1
352,08100520,1
353,08100521,1
354,08200622,1
355,08200623,1
356,08200624,1
357,08200725,1
358,08200726,1
359,08200727,1
360,08200728,1
361,08200729,1
362,08200730,1
363,08200831,1
364,08200832,1
365,08200833,1
366,08300934,1
367,08300935,1
368,08301036,1
369,08301037,1
370,08401138,1
371,08401139,1
372,08401140,1
373,08401241,1
374,08401242,1
375,08401243,1
376,08401244,1
377,08401245,1
378,08401246,1
379,09100101,1
380,09100202,1
381,09100203,1
382,09100304,1
383,09100305,1
384,09100306,1
385,09100407,1
386,09100408,1
387,09100409,1
388,09200510,1
389,09200511,1
390,09200512,1
391,09200613,1
392,09200614,1
393,09200715,1
394,09200716,1
395,09200717,1
396,09200818,1
397,09200819,1
398,09300920,1
399,09300921,1
400,09300922,1
401,09300923,1
402,09301024,1
403,09301025,1
404,09301126,1
405,09301227,1
406,09301228,1
407,09401329,1
408,09401330,1
409,09401431,1
410,09401432,1
411,09401433,1
412,09401534,1
413,09401635,1
414,09501736,1
415,09501737,1
416,09501838,1
417,09501939,1
418,09501940,1
419,09501941,1
420,09502042,1
421,09502043,1
422,10100101,1
423,10100102,1
424,10100103,1
425,10100104,1
426,10100205,1
427,10100206,1
428,10100207,1
429,10100208,1
430,10100209,1
431,10100210,1
432,10100311,1
433,10100312,1
434,10100313,1
435,10100314,1
436,10100315,1
437,10100316,1
438,10200417,1
439,10200418,1
440,10200419,1
441,10200420,1
442,10200421,1
443,10200422,1
444,10200423,1
445,10200524,1
446,10200525,1
447,10200526,1
448,10200627,1
449,10200628,1
450,10200629,1
451,10200630,1
452,10300731,1
453,10300732,1
454,10300733,1
455,10300734,1
456,10400835,1
457,10400836,1
458,10400837,1
459,10400938,1
460,10400939,1
461,10400940,1
462,10400941,1
463,11100101,1
464,11100102,1
465,11100203,1
466,11100204,1
467,11100205,1
468,11100206,1
469,11100307,1
470,11100308,1
471,11100309,1
472,11200410,1
473,11200411,1
474,11200512,1
475,11200513,1
476,11200514,1
477,11200515,1
478,11300616,1
479,11300617,1
480,11300618,1
481,11300619,1
482,11300620,1
483,11300721,1
484,11300722,1
485,11300723,1
486,11300724,1
487,11300725,1
488,11300826,1
489,11400927,1
490,11400928,1
491,11400929,1
492,11400930,1
493,11400931,1
494,11401032,1
495,11401033,1
496,11401034,1
497,11401135,1
498,11401136,1
499,11401137,1
500,11501238,1
501,11501339,1
502,11501340,1
503,11501341,1
504,12100101,1
505,12100102,1
506,12100103,1
507,12100204,1
508,12100205,1
509,12100206,1
510,12200307,1
511,12200308,1
512,12200309,1
513,12200310,1
514,12200411,1
515,12200412,1
516,12200413,1
517,12200414,1
518,12200515,1
519,12400616,1
520,12400617,1
521,12400618,1
522,12400619,1
523,12400720,1
524,12400721,1
525,12400722,1
526,12400723,1
527,12500824,1
528,12500825,1
529,12500926,1
530,12500927,1
531,12500928,1
532,12500929,1
533,12500930,1
534,12601031,1
535,12601032,1
536,12601133,1
537,12601134,1
538,12601235,1
539,12601236,1
