,LOR,bike_theft_count
0,1100101,28
1,1100102,127
2,1100103,76
3,1100104,58
4,1100205,30
5,1100206,141
6,1100207,92
7,1100308,94
8,1100309,150
9,1100310,196
10,1100311,146
11,1100312,90
12,1100313,102
13,1100414,91
14,1100415,133
15,1100416,127
16,1200517,36
17,1200518,35
18,1200519,58
19,1200520,56
20,1200521,29
21,1200522,77
22,1200623,62
23,1200624,68
24,1200625,48
25,1200626,43
26,1200627,10
27,1200628,58
28,1200629,84
29,1300730,65
30,1300731,37
31,1300732,46
32,1300733,95
33,1300834,127
34,1300835,62
35,1300836,169
36,1400937,47
37,1400938,69
38,1400939,31
39,1400940,45
40,1400941,8
41,1400942,143
42,1401043,158
43,1401044,82
44,1401045,37
45,1401046,59
46,1401047,102
47,1401048,179
48,1401049,57
49,2100101,99
50,2100102,64
51,2100103,46
52,2100104,93
53,2100105,57
54,2100106,104
55,2200207,124
56,2200208,73
57,2200209,106
58,2200210,164
59,2200211,165
60,2200212,130
61,2200213,163
62,2300314,112
63,2300315,101
64,2300316,67
65,2300417,96
66,2300418,148
67,2300419,232
68,2400520,42
69,2400521,71
70,2400522,88
71,2400623,134
72,2400624,132
73,2400625,107
74,2500726,55
75,2500727,48
76,2500728,80
77,2500729,92
78,2500830,39
79,2500831,47
80,2500832,74
81,2500833,81
82,2500834,157
83,2500835,172
84,2500836,68
85,3100101,29
86,3100102,28
87,3100103,100
88,3200204,1
89,3200205,24
90,3200206,87
91,3200207,43
92,3200308,10
93,3200309,36
94,3200310,29
95,3300411,41
96,3300412,42
97,3300413,6
98,3300514,79
99,3300516,42
100,3300517,3
101,3400618,20
102,3400619,29
103,3400620,16
104,3400721,134
105,3400722,31
106,3400723,121
107,3400724,45
108,3400725,28
109,3400826,87
110,3400827,59
111,3400828,38
112,3400829,30
113,3400830,47
114,3400831,5
115,3500932,55
116,3500933,50
117,3500934,77
118,3500935,57
119,3500936,71
120,3501037,30
121,3501038,31
122,3601139,37
123,3601140,65
124,3601141,88
125,3601142,156
126,3601243,167
127,3601244,94
128,3601245,118
129,3601346,71
130,3601347,87
131,3601348,91
132,3601449,45
133,3601450,29
134,3601451,52
135,3601452,47
136,3601453,73
137,3701554,131
138,3701555,106
139,3701556,90
140,3701657,18
141,3701658,72
