ANGELEGT_AM,LOR,bike_theft_count
2022-01-01,1300730,1
2022-01-01,2100106,1
2022-01-01,2400623,1
2022-01-01,3601142,1
2022-01-02,1100206,1
2022-01-02,1100311,1
2022-01-02,1200522,1
2022-01-02,1200629,1
2022-01-02,1401043,1
2022-01-02,2100101,1
2022-01-02,2300315,1
2022-01-02,2400624,2
2022-01-02,3300516,1
2022-01-02,3400723,1
2022-01-02,3601245,1
2022-01-02,3701555,1
2022-01-02,4300621,1
2022-01-02,4300622,1
2022-01-02,4500938,1
2022-01-02,4501149,1
2022-01-02,5100316,1
2022-01-02,6100102,1
2022-01-02,6200422,1
2022-01-02,6400843,1
2022-01-02,7100205,1
2022-01-02,7400824,1
2022-01-02,8100415,1
2022-01-02,8200726,1
2022-01-02,8200833,1
2022-01-02,9100101,1
2022-01-02,9100203,1
2022-01-02,10100207,1
2022-01-02,10200629,1
2022-01-02,10300733,1
2022-01-02,10400939,1
2022-01-02,11300722,1
2022-01-02,11300725,1
2022-01-02,12200310,1
2022-01-02,12400618,1
2022-01-02,12400721,2
2022-01-03,1100206,1
2022-01-03,1100207,1
2022-01-03,1100309,1
2022-01-03,1100310,2
2022-01-03,1100416,1
2022-01-03,1200519,1
2022-01-03,1401047,1
2022-01-03,2200210,1
2022-01-03,2200211,2
2022-01-03,2300417,2
2022-01-03,2300419,1
2022-01-03,2500729,1
2022-01-03,2500834,1
2022-01-03,3200205,1
2022-01-03,3200206,1
2022-01-03,3400721,1
2022-01-03,3400830,1
2022-01-03,3601346,1
2022-01-03,3601347,1
2022-01-03,3701556,1
2022-01-03,3701659,1
2022-01-03,4200204,1
2022-01-03,4300624,1
2022-01-03,4501147,1
2022-01-03,5100211,1
2022-01-03,5300737,1
2022-01-03,6400735,1
2022-01-03,7100102,1
2022-01-03,7100204,1
2022-01-03,7200410,1
2022-01-03,7300618,1
2022-01-03,7400720,1
2022-01-03,7501133,1
2022-01-03,8100206,1
2022-01-03,8100311,1
2022-01-03,8100312,1
2022-01-03,9200613,2
2022-01-03,11300721,1
2022-01-03,11300826,1
2022-01-03,12200310,2
2022-01-03,12601133,1
2022-01-04,1100309,1
2022-01-04,1100310,1
2022-01-04,1100415,2
2022-01-04,1200628,1
2022-01-04,1400942,1
2022-01-04,2200209,1
2022-01-04,2200213,2
2022-01-04,2300315,1
2022-01-04,2400624,1
2022-01-04,2500727,1
2022-01-04,2500835,1
2022-01-04,3400723,1
2022-01-04,3601142,1
2022-01-04,3601244,1
2022-01-04,3701555,1
2022-01-04,4200310,1
2022-01-04,4300412,1
2022-01-04,4300621,2
2022-01-04,4500936,1
2022-01-04,6200314,1
2022-01-04,6400735,2
2022-01-04,6400838,1
2022-01-04,7100101,1
2022-01-04,7100102,2
2022-01-04,7100103,2
2022-01-04,7100204,1
2022-01-04,7100206,1
2022-01-04,7300619,3
2022-01-04,7400927,1
2022-01-04,8100206,1
2022-01-04,8100209,1
2022-01-04,8100312,1
2022-01-04,8401246,1
2022-01-04,9301024,1
2022-01-04,9301126,1
2022-01-04,10100311,1
2022-01-04,11100307,1
2022-01-04,11200514,1
2022-01-04,11300616,1
2022-01-04,11501238,1
2022-01-05,1100102,1
2022-01-05,1100415,1
2022-01-05,1200520,1
2022-01-05,1200625,1
2022-01-05,1200628,1
2022-01-05,1300834,2
2022-01-05,1300836,1
2022-01-05,1401043,2
2022-01-05,2100101,1
2022-01-05,2200212,2
2022-01-05,2300417,1
2022-01-05,2300419,1
2022-01-05,2500831,1
2022-01-05,2500835,2
2022-01-05,3601139,1
2022-01-05,3601243,1
2022-01-05,3601347,1
2022-01-05,3601452,1
2022-01-05,3701554,1
2022-01-05,3701555,1
2022-01-05,3701556,1
2022-01-05,4300412,1
2022-01-05,4300621,1
2022-01-05,4300622,1
2022-01-05,4400728,1
2022-01-05,4501040,1
2022-01-05,4501042,1
2022-01-05,4501044,1
2022-01-05,5100210,1
2022-01-05,5400942,1
2022-01-05,6200312,1
2022-01-05,6300633,1
2022-01-05,6400737,1
2022-01-05,6400840,1
2022-01-05,7100102,1
2022-01-05,7100206,2
2022-01-05,7200307,1
2022-01-05,7300516,1
2022-01-05,7400720,1
2022-01-05,8100104,1
2022-01-05,8100207,1
2022-01-05,8100310,2
2022-01-05,8100417,1
2022-01-05,9100202,1
2022-01-05,9100409,1
2022-01-05,9200717,1
2022-01-05,10100209,1
2022-01-05,10300731,1
2022-01-05,10300734,1
2022-01-05,11200513,1
2022-01-05,11300722,1
2022-01-05,11400930,1
2022-01-05,11401034,1
2022-01-05,11501339,1
2022-01-05,12100102,1
2022-01-05,12100204,1
2022-01-05,12400618,1
2022-01-06,1100205,1
2022-01-06,1100206,1
2022-01-06,1100207,1
2022-01-06,1100308,2
2022-01-06,1100313,1
2022-01-06,1200519,1
2022-01-06,1200623,2
2022-01-06,1300835,2
2022-01-06,1300836,1
2022-01-06,1400938,1
2022-01-06,1400942,1
2022-01-06,1401043,1
2022-01-06,1401044,1
2022-01-06,2100104,1
2022-01-06,2100106,1
2022-01-06,2200210,1
2022-01-06,2200212,1
2022-01-06,2200213,1
2022-01-06,2300417,1
2022-01-06,2500833,2
2022-01-06,3400721,2
2022-01-06,3400722,1
2022-01-06,3400723,1
2022-01-06,3400826,1
2022-01-06,3601142,1
2022-01-06,3601243,3
2022-01-06,3601348,1
2022-01-06,4300620,1
2022-01-06,4300622,1
2022-01-06,4300623,2
2022-01-06,4300624,1
2022-01-06,4500937,1
2022-01-06,4501045,1
2022-01-06,4501146,1
2022-01-06,4501149,1
2022-01-06,4501150,1
2022-01-06,5200525,1
2022-01-06,5300841,1
2022-01-06,6100103,1
2022-01-06,6300526,2
2022-01-06,6300631,1
2022-01-06,6400737,1
2022-01-06,6400841,1
2022-01-06,7100101,1
2022-01-06,7200412,1
2022-01-06,7200414,1
2022-01-06,7300619,1
2022-01-06,7400927,1
2022-01-06,8100103,1
2022-01-06,8100206,2
2022-01-06,8100417,3
2022-01-06,8200623,1
2022-01-06,9200511,1
2022-01-06,9200613,1
2022-01-06,9200715,2
2022-01-06,9502042,1
2022-01-06,10100210,1
2022-01-06,11200514,1
2022-01-06,11400930,2
2022-01-06,12500824,2
2022-01-07,1100309,1
2022-01-07,1100312,1
2022-01-07,1200519,1
2022-01-07,1300834,1
2022-01-07,1300835,1
2022-01-07,1300836,1
2022-01-07,1400937,1
2022-01-07,1401044,1
2022-01-07,1401047,1
2022-01-07,2200210,1
2022-01-07,2200213,2
2022-01-07,2300417,1
2022-01-07,2300419,1
2022-01-07,2400623,1
2022-01-07,2500835,2
2022-01-07,3100103,2
2022-01-07,3200205,1
2022-01-07,3400826,1
2022-01-07,3500934,1
2022-01-07,3601244,1
2022-01-07,3701556,1
2022-01-07,4300415,1
2022-01-07,4300416,1
2022-01-07,4300623,1
2022-01-07,4501043,1
2022-01-07,4501045,1
2022-01-07,4501149,2
2022-01-07,4501151,1
2022-01-07,4501152,2
2022-01-07,5100315,1
2022-01-07,5300737,1
2022-01-07,6100208,1
2022-01-07,6200422,1
2022-01-07,6300524,1
2022-01-07,7100204,2
2022-01-07,7100206,1
2022-01-07,7300517,1
2022-01-07,7501031,1
2022-01-07,8100206,2
2022-01-07,8100312,1
2022-01-07,8100314,1
2022-01-07,8100418,1
2022-01-07,8200725,1
2022-01-07,8401139,1
2022-01-07,9200613,1
2022-01-07,9501838,1
2022-01-07,10100208,1
2022-01-07,10200417,1
2022-01-07,11100307,1
2022-01-07,11200512,1
2022-01-07,11300725,1
2022-01-07,11300826,1
2022-01-07,12100205,1
2022-01-07,12200515,1
2022-01-08,1100206,1
2022-01-08,1100207,2
2022-01-08,1100311,1
2022-01-08,1100415,1
2022-01-08,1200517,1
2022-01-08,1200518,1
2022-01-08,1200626,1
2022-01-08,1300732,1
2022-01-08,1300834,1
2022-01-08,1400938,1
2022-01-08,1401048,2
2022-01-08,2200207,1
2022-01-08,2200208,1
2022-01-08,2200209,1
2022-01-08,2200210,1
2022-01-08,2300316,1
2022-01-08,2300418,1
2022-01-08,2300419,2
2022-01-08,2400623,1
2022-01-08,2500832,1
2022-01-08,2500834,1
2022-01-08,2500835,1
2022-01-08,3200205,1
2022-01-08,3300411,1
2022-01-08,3400724,1
2022-01-08,3400826,1
2022-01-08,3500934,2
2022-01-08,3601243,3
2022-01-08,3601451,2
2022-01-08,3701556,4
2022-01-08,4200207,1
2022-01-08,4200311,1
2022-01-08,4300619,2
2022-01-08,4500937,1
2022-01-08,4500938,1
2022-01-08,4501040,1
2022-01-08,4501042,1
2022-01-08,4501147,2
2022-01-08,4501152,1
2022-01-08,5200525,1
2022-01-08,5300736,1
2022-01-08,6100204,1
2022-01-08,6200421,1
2022-01-08,6400838,1
2022-01-08,6400839,1
2022-01-08,7100101,1
2022-01-08,7100103,1
2022-01-08,7100206,1
2022-01-08,7200307,2
2022-01-08,7200413,1
2022-01-08,7400823,1
2022-01-08,8100312,1
2022-01-08,8200728,1
2022-01-08,9100101,3
2022-01-08,9100304,1
2022-01-08,9301025,1
2022-01-08,9301126,1
2022-01-08,9301228,1
2022-01-08,9501736,1
2022-01-08,9501939,1
2022-01-08,10100104,1
2022-01-08,10100312,3
2022-01-08,10300731,1
2022-01-08,11100307,1
2022-01-08,12100101,1
2022-01-08,12200308,1
2022-01-08,12400720,1
2022-01-08,12601236,1
2022-01-09,1100101,1
2022-01-09,1100103,2
2022-01-09,1100309,1
2022-01-09,1100311,1
2022-01-09,1100312,1
2022-01-09,1100414,1
2022-01-09,1100415,1
2022-01-09,1200519,1
2022-01-09,1200522,1
2022-01-09,1200623,1
