year,LOR,bike_theft_count
2022,1100101,26
2023,1100101,2
2022,1100102,110
2023,1100102,17
2022,1100103,71
2023,1100103,5
2022,1100104,53
2023,1100104,5
2022,1100205,28
2023,1100205,2
2022,1100206,129
2023,1100206,12
2022,1100207,87
2023,1100207,5
2022,1100308,83
2023,1100308,11
2022,1100309,137
2023,1100309,13
2022,1100310,187
2023,1100310,9
2022,1100311,126
2023,1100311,20
2022,1100312,82
2023,1100312,8
2022,1100313,93
2023,1100313,9
2022,1100414,81
2023,1100414,10
2022,1100415,126
2023,1100415,7
2022,1100416,119
2023,1100416,8
2022,1200517,29
2023,1200517,7
2022,1200518,29
2023,1200518,6
2022,1200519,53
2023,1200519,5
2022,1200520,51
2023,1200520,5
2022,1200521,28
2023,1200521,1
2022,1200522,69
2023,1200522,8
2022,1200623,59
2023,1200623,3
2022,1200624,60
2023,1200624,8
2022,1200625,41
2023,1200625,7
2022,1200626,43
2022,1200627,10
2022,1200628,55
2023,1200628,3
2022,1200629,79
2023,1200629,5
2022,1300730,58
2023,1300730,7
2022,1300731,32
2023,1300731,5
2022,1300732,41
2023,1300732,5
2022,1300733,77
2023,1300733,18
2022,1300834,107
2023,1300834,20
2022,1300835,51
2023,1300835,11
2022,1300836,153
2023,1300836,16
2022,1400937,43
2023,1400937,4
2022,1400938,64
2023,1400938,5
2022,1400939,30
2023,1400939,1
2022,1400940,43
2023,1400940,2
2022,1400941,8
2022,1400942,130
2023,1400942,13
2022,1401043,140
2023,1401043,18
2022,1401044,75
2023,1401044,7
2022,1401045,34
2023,1401045,3
2022,1401046,55
2023,1401046,4
2022,1401047,92
2023,1401047,10
2022,1401048,164
2023,1401048,15
2022,1401049,54
2023,1401049,3
2022,2100101,91
2023,2100101,8
2022,2100102,61
2023,2100102,3
2022,2100103,43
2023,2100103,3
2022,2100104,80
2023,2100104,13
2022,2100105,49
2023,2100105,8
2022,2100106,100
2023,2100106,4
2022,2200207,121
2023,2200207,3
2022,2200208,58
2023,2200208,15
2022,2200209,78
2023,2200209,28
2022,2200210,145
2023,2200210,19
2022,2200211,145
2023,2200211,20
2022,2200212,110
2023,2200212,20
2022,2200213,143
2023,2200213,20
2022,2300314,102
2023,2300314,10
2022,2300315,95
2023,2300315,6
2022,2300316,60
2023,2300316,7
2022,2300417,87
2023,2300417,9
2022,2300418,130
2023,2300418,18
2022,2300419,208
2023,2300419,24
2022,2400520,36
2023,2400520,6
2022,2400521,65
2023,2400521,6
2022,2400522,80
2023,2400522,8
2022,2400623,122
2023,2400623,12
2022,2400624,122
2023,2400624,10
2022,2400625,96
2023,2400625,11
2022,2500726,50
2023,2500726,5
2022,2500727,37
2023,2500727,11
2022,2500728,66
2023,2500728,14
2022,2500729,84
2023,2500729,8
2022,2500830,34
2023,2500830,5
2022,2500831,43
2023,2500831,4
2022,2500832,67
2023,2500832,7
2022,2500833,74
2023,2500833,7
2022,2500834,145
2023,2500834,12
2022,2500835,149
2023,2500835,23
2022,2500836,59
2023,2500836,9
2022,3100101,29
2022,3100102,25
2023,3100102,3
2022,3100103,96
2023,3100103,4
2022,3200204,1
2022,3200205,20
2023,3200205,4
2022,3200206,81
2023,3200206,6
2022,3200207,42
2023,3200207,1
2022,3200308,9
2023,3200308,1
2022,3200309,36
2022,3200310,28
2023,3200310,1
2022,3300411,38
2023,3300411,3
2022,3300412,40
2023,3300412,2
2022,3300413,5
2023,3300413,1
2022,3300514,78
2023,3300514,1
2022,3300516,35
2023,3300516,7
2022,3300517,3
2022,3400618,18
2023,3400618,2
2022,3400619,28
2023,3400619,1
2022,3400620,13
2023,3400620,3
2022,3400721,115
2023,3400721,19
2022,3400722,31
2022,3400723,113
2023,3400723,8
2022,3400724,41
2023,3400724,4
2022,3400725,25
2023,3400725,3
2022,3400826,79
2023,3400826,8
2022,3400827,57
2023,3400827,2
2022,3400828,37
2023,3400828,1
2022,3400829,28
2023,3400829,2
2022,3400830,41
2023,3400830,6
2022,3400831,5
2022,3500932,49
2023,3500932,6
2022,3500933,46
2023,3500933,4
2022,3500934,66
2023,3500934,11
2022,3500935,52
2023,3500935,5
2022,3500936,65
2023,3500936,6
2022,3501037,27
2023,3501037,3
2022,3501038,29
2023,3501038,2
2022,3601139,35
2023,3601139,2
2022,3601140,54
2023,3601140,11
2022,3601141,75
2023,3601141,13
2022,3601142,138
2023,3601142,18
2022,3601243,155
2023,3601243,12
2022,3601244,88
2023,3601244,6
2022,3601245,101
2023,3601245,17
2022,3601346,65
2023,3601346,6
2022,3601347,82
2023,3601347,5
2022,3601348,80
2023,3601348,11
2022,3601449,42
2023,3601449,3
2022,3601450,27
2023,3601450,2
2022,3601451,45
2023,3601451,7
2022,3601452,43
2023,3601452,4
2022,3601453,67
2023,3601453,6
2022,3701554,126
2023,3701554,5
2022,3701555,99
2023,3701555,7
2022,3701556,82
2023,3701556,8
2022,3701657,17
2023,3701657,1
2022,3701658,65
2023,3701658,7
2022,3701659,60
2023,3701659,7
2022,3701660,76
2023,3701660,6
2022,4100101,21
2023,4100101,1
2022,4100102,8
2022,4200203,7
2022,4200204,9
2022,4200205,6
2022,4200206,7
2023,4200206,2
2022,4200207,22
2023,4200207,2
2022,4200308,19
2023,4200308,5
2022,4200309,38
2023,4200309,3
2022,4200310,28
2023,4200310,3
2022,4200311,34
2023,4200311,2
2022,4300412,36
2023,4300412,4
2022,4300413,56
2023,4300413,12
2022,4300414,65
2023,4300414,5
2022,4300415,45
2023,4300415,2
2022,4300416,106
2023,4300416,9
2022,4300517,60
2023,4300517,6
2022,4300518,32
2023,4300518,3
2022,4300619,38
2023,4300619,4
2022,4300620,45
2023,4300620,2
2022,4300621,85
