ANGELEGT_AM,start_date_delict,start_time_delict,end_date_delict,end_time_delict,LOR,damage_amount,intent_delict,bike_type,delict,description,crime_duration_days,crime_duration_hours,year,month
2023-02-19,2023-02-18,18,2023-02-19,7,03701658,3472,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,11,2023,2
2023-02-19,2023-02-18,20,2023-02-19,9,01100308,2277,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,11,2023,2
2023-02-19,2023-02-18,16,2023-02-19,0,06100102,746,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,16,2023,2
2023-02-19,2023-02-18,17,2023-02-19,0,07601544,1849,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,17,2023,2
2023-02-19,2023-02-17,17,2023-02-17,17,03601346,1863,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2023,2
2023-02-19,2023-02-19,11,2023-02-19,21,03400723,100,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,10,2023,2
2023-02-19,2023-02-18,22,2023-02-18,22,01200522,300,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2023,2
2023-02-19,2023-02-18,23,2023-02-19,1,05300737,250,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,22,2023,2
2023-02-19,2023-02-18,23,2023-02-19,1,03701554,700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,22,2023,2
2023-02-19,2023-02-17,12,2023-02-18,16,03400620,0,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,4,2023,2
2023-02-19,2023-02-17,16,2023-02-17,17,01300834,1499,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2023,2
2023-02-19,2023-02-18,19,2023-02-19,10,02500835,3029,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,9,2023,2
2023-02-19,2023-02-18,12,2023-02-18,14,03601245,446,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2023,2
2023-02-19,2023-02-18,15,2023-02-19,13,02200208,1690,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,2,2023,2
2023-02-19,2023-02-19,18,2023-02-19,19,02100104,2136,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2023,2
2023-02-19,2023-02-17,17,2023-02-18,10,03601141,621,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,7,2023,2
2023-02-19,2023-02-16,7,2023-02-18,11,08100312,565,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2 days,4,2023,2
2023-02-19,2023-02-18,23,2023-02-19,1,09501940,1350,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,22,2023,2
2023-02-19,2023-02-17,8,2023-02-17,15,02200211,250,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,7,2023,2
2023-02-19,2023-12-02,13,2023-12-02,18,12400720,499,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,5,2023,2
2023-02-19,2023-02-18,0,2023-02-18,3,06400839,1250,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,0 days,3,2023,2
2023-02-19,2023-02-18,15,2023-02-19,10,09100304,4099,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,5,2023,2
2023-02-19,2023-02-18,19,2023-02-19,9,11501340,900,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,10,2023,2
2023-02-19,2023-02-18,16,2023-02-19,16,09401329,600,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,0,2023,2
2023-02-19,2023-02-18,17,2023-02-19,10,04300517,1180,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,7,2023,2
2023-02-19,2023-02-17,14,2023-02-18,21,06200421,200,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,7,2023,2
2023-02-19,2023-02-19,11,2023-02-19,11,02500830,2300,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2023,2
2023-02-19,2023-02-17,15,2023-02-17,15,05200632,1400,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2023,2
2023-02-19,2023-02-13,17,2023-02-13,19,02200209,540,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,2,2023,2
2023-02-19,2023-02-19,4,2023-02-19,4,01100308,3700,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2023,2
2023-02-19,2023-02-15,23,2023-02-18,13,07300619,899,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3 days,10,2023,2
2023-02-19,2023-02-17,7,2023-02-17,13,11501341,358,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,6,2023,2
2023-02-19,2023-02-16,20,2023-02-17,11,03601348,3800,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,9,2023,2
2023-02-18,2023-02-15,18,2023-02-18,9,11300725,3500,Nein,Fahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,3 days,9,2023,2
2023-02-18,2023-02-17,15,2023-02-18,9,03601140,4200,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,6,2023,2
2023-02-18,2023-02-16,18,2023-02-17,9,02200211,400,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,9,2023,2
2023-02-18,2023-02-18,18,2023-02-18,18,02400520,20,Nein,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,0 days,0,2023,2
2023-02-18,2023-02-16,17,2023-02-18,14,02500727,1016,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2 days,3,2023,2
2023-02-18,2023-02-16,18,2023-02-18,9,07300619,1026,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2 days,9,2023,2
2023-02-18,2023-02-16,19,2023-02-16,22,01100102,849,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,3,2023,2
2023-02-18,2023-02-17,23,2023-02-18,0,04501042,2150,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,23,2023,2
2023-02-18,2023-02-16,10,2023-02-17,16,02200207,5000,Nein,Herrenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,1 days,6,2023,2
2023-02-18,2023-02-17,19,2023-02-18,11,07400720,5400,Nein,diverse Fahrräder,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,1 days,8,2023,2
2023-02-18,2023-02-18,9,2023-02-18,12,02500835,1300,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,3,2023,2
2023-02-18,2023-02-17,17,2023-02-18,15,07200308,215,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,2,2023,2
2023-02-18,2023-10-02,7,2023-10-02,15,04501147,499,Nein,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,8,2023,2
2023-02-18,2023-02-18,16,2023-02-18,17,03601243,2500,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,1,2023,2
2023-02-18,2023-02-16,20,2023-02-18,9,06100206,1652,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2 days,11,2023,2
2023-02-18,2023-02-17,13,2023-02-17,13,04501149,699,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,0,2023,2
2023-02-18,2023-02-18,10,2023-02-18,14,02200212,628,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,4,2023,2
2023-02-18,2023-02-18,12,2023-02-18,22,12400720,704,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,0 days,10,2023,2
2023-02-18,2023-02-17,19,2023-02-18,11,07400720,1250,Nein,Rennrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1 days,8,2023,2
