,LOR,year,bike_theft_count
0,1100101,2022,1
1,1100101,2023,1
2,1100102,2022,1
3,1100102,2023,1
4,1100103,2022,1
5,1100103,2023,1
6,1100104,2022,1
7,1100104,2023,1
8,1100205,2022,1
9,1100205,2023,1
10,1100206,2022,1
11,1100206,2023,1
12,1100207,2022,1
13,1100207,2023,1
14,1100308,2022,1
15,1100308,2023,1
16,1100309,2022,1
17,1100309,2023,1
18,1100310,2022,1
19,1100310,2023,1
20,1100311,2022,1
21,1100311,2023,1
22,1100312,2022,1
23,1100312,2023,1
24,1100313,2022,1
25,1100313,2023,1
26,1100414,2022,1
27,1100414,2023,1
28,1100415,2022,1
29,1100415,2023,1
30,1100416,2022,1
31,1100416,2023,1
32,1200517,2022,1
33,1200517,2023,1
34,1200518,2022,1
35,1200518,2023,1
36,1200519,2022,1
37,1200519,2023,1
38,1200520,2022,1
39,1200520,2023,1
40,1200521,2022,1
41,1200521,2023,1
42,1200522,2022,1
43,1200522,2023,1
44,1200623,2022,1
45,1200623,2023,1
46,1200624,2022,1
47,1200624,2023,1
48,1200625,2022,1
49,1200625,2023,1
50,1200626,2022,1
51,1200627,2022,1
52,1200628,2022,1
53,1200628,2023,1
54,1200629,2022,1
55,1200629,2023,1
56,1300730,2022,1
57,1300730,2023,1
58,1300731,2022,1
59,1300731,2023,1
60,1300732,2022,1
61,1300732,2023,1
62,1300733,2022,1
63,1300733,2023,1
64,1300834,2022,1
65,1300834,2023,1
66,1300835,2022,1
67,1300835,2023,1
68,1300836,2022,1
69,1300836,2023,1
70,1400937,2022,1
71,1400937,2023,1
72,1400938,2022,1
73,1400938,2023,1
74,1400939,2022,1
75,1400939,2023,1
76,1400940,2022,1
77,1400940,2023,1
78,1400941,2022,1
79,1400942,2022,1
80,1400942,2023,1
81,1401043,2022,1
82,1401043,2023,1
83,1401044,2022,1
84,1401044,2023,1
85,1401045,2022,1
86,1401045,2023,1
87,1401046,2022,1
88,1401046,2023,1
89,1401047,2022,1
90,1401047,2023,1
91,1401048,2022,1
92,1401048,2023,1
93,1401049,2022,1
94,1401049,2023,1
95,2100101,2022,1
96,2100101,2023,1
97,2100102,2022,1
98,2100102,2023,1
99,2100103,2022,1
100,2100103,2023,1
101,2100104,2022,1
102,2100104,2023,1
103,2100105,2022,1
104,2100105,2023,1
105,2100106,2022,1
106,2100106,2023,1
107,2200207,2022,1
108,2200207,2023,1
109,2200208,2022,1
110,2200208,2023,1
111,2200209,2022,1
112,2200209,2023,1
113,2200210,2022,1
114,2200210,2023,1
115,2200211,2022,1
116,2200211,2023,1
